Frecuencia (Hz)	Nivel (dB)
43,066406	-60,084820
86,132812	-56,953331
129,199219	-55,191517
172,265625	-53,942211
215,332031	-52,973091
258,398438	-52,181290
301,464844	-51,511806
344,531250	-50,931904
387,597656	-50,420353
430,664062	-49,962765
473,730469	-49,548866
516,796875	-49,170959
559,863281	-48,823330
602,929688	-48,501488
645,996094	-48,201878
689,062500	-47,921562
732,128906	-47,658291
775,195312	-47,410053
818,261719	-47,175240
861,328125	-46,952461
904,394531	-46,740574
947,460938	-46,538551
990,527344	-46,345493
1033,593750	-46,160645
1076,660156	-45,983360
1119,726562	-45,813026
1162,792969	-45,649139
1205,859375	-45,491207
1248,925781	-45,338776
1291,992188	-45,191559
1335,058594	-45,049168
1378,125000	-44,911274
1421,191406	-44,777607
1464,257812	-44,647964
1507,324219	-44,522087
1550,390625	-44,399761
1593,457031	-44,280762
1636,523438	-44,164925
1679,589844	-44,052116
1722,656250	-43,942165
1765,722656	-43,834934
1808,789062	-43,730282
1851,855469	-43,628082
1894,921875	-43,528252
1937,988281	-43,430660
1981,054688	-43,335201
2024,121094	-43,241791
2067,187500	-43,150349
2110,253906	-43,060795
2153,320312	-42,973053
2196,386719	-42,887074
2239,453125	-42,802731
2282,519531	-42,720013
2325,585938	-42,638840
2368,652344	-42,559139
2411,718750	-42,480888
2454,785156	-42,404003
2497,851562	-42,328476
2540,917969	-42,254242
2583,984375	-42,181248
2627,050781	-42,109470
2670,117188	-42,038872
2713,183594	-41,969364
2756,250000	-41,900955
2799,316406	-41,833633
2842,382812	-41,767319
2885,449219	-41,702007
2928,515625	-41,637684
2971,582031	-41,574299
3014,648438	-41,511791
3057,714844	-41,450180
3100,781250	-41,389450
3143,847656	-41,329540
3186,914062	-41,270443
3229,980469	-41,212162
3273,046875	-41,154640
3316,113281	-41,097866
3359,179688	-41,041828
3402,246094	-40,986504
3445,312500	-40,931870
3488,378906	-40,877911
3531,445312	-40,824627
3574,511719	-40,771992
3617,578125	-40,719978
3660,644531	-40,668575
3703,710938	-40,617790
3746,777344	-40,567581
3789,843750	-40,517956
3832,910156	-40,468880
3875,976562	-40,420341
3919,042969	-40,372356
3962,109375	-40,324894
4005,175781	-40,277935
4048,242188	-40,231491
4091,308594	-40,185532
4134,375000	-40,140068
4177,441406	-40,095066
4220,507812	-40,050514
4263,574219	-40,006416
4306,640625	-39,962757
4349,707031	-39,919544
4392,773438	-39,876759
4435,839844	-39,834389
4478,906250	-39,792439
4521,972656	-39,750877
4565,039062	-39,709702
4608,105469	-39,668919
4651,171875	-39,628513
4694,238281	-39,588497
4737,304688	-39,548851
4780,371094	-39,509537
4823,437500	-39,470581
4866,503906	-39,431988
4909,570312	-39,393734
4952,636719	-39,355797
4995,703125	-39,318199
5038,769531	-39,280907
5081,835938	-39,243950
5124,902344	-39,207306
5167,968750	-39,170952
5211,035156	-39,134911
5254,101562	-39,099167
5297,167969	-39,063709
5340,234375	-39,028553
5383,300781	-38,993675
5426,367188	-38,959057
5469,433594	-38,924732
5512,500000	-38,890667
5555,566406	-38,856869
5598,632812	-38,823334
5641,699219	-38,790058
5684,765625	-38,757038
5727,832031	-38,724247
5770,898438	-38,691708
5813,964844	-38,659424
5857,031250	-38,627377
5900,097656	-38,595558
5943,164062	-38,563972
5986,230469	-38,532623
6029,296875	-38,501488
6072,363281	-38,470573
6115,429688	-38,439884
6158,496094	-38,409409
6201,562500	-38,379139
6244,628906	-38,349087
6287,695312	-38,319241
6330,761719	-38,289589
6373,828125	-38,260155
6416,894531	-38,230911
6459,960938	-38,201859
6503,027344	-38,172997
6546,093750	-38,144333
6589,160156	-38,115856
6632,226562	-38,087559
6675,292969	-38,059448
6718,359375	-38,031517
6761,425781	-38,003773
6804,492188	-37,976200
6847,558594	-37,948780
6890,625000	-37,921551
6933,691406	-37,894505
6976,757812	-37,867619
7019,824219	-37,840900
7062,890625	-37,814335
7105,957031	-37,787933
7149,023438	-37,761677
7192,089844	-37,735592
7235,156250	-37,709675
7278,222656	-37,683895
7321,289062	-37,658279
7364,355469	-37,632812
7407,421875	-37,607498
7450,488281	-37,582314
7493,554688	-37,557285
7536,621094	-37,532391
7579,687500	-37,507641
7622,753906	-37,483040
7665,820312	-37,458576
7708,886719	-37,434242
7751,953125	-37,410042
7795,019531	-37,385983
7838,085938	-37,362057
7881,152344	-37,338264
7924,218750	-37,314606
7967,285156	-37,291065
8010,351562	-37,267643
8053,417969	-37,244343
8096,484375	-37,221188
8139,550781	-37,198154
8182,617188	-37,175228
8225,683594	-37,152439
8268,750000	-37,129765
8311,816406	-37,107201
8354,882812	-37,084751
8397,949219	-37,062420
8441,015625	-37,040199
8484,082031	-37,018097
8527,148438	-36,996120
8570,214844	-36,974239
8613,281250	-36,952457
8656,347656	-36,930801
8699,414062	-36,909248
8742,480469	-36,887806
8785,546875	-36,866470
8828,613281	-36,845234
8871,679688	-36,824097
8914,746094	-36,803066
8957,812500	-36,782131
9000,878906	-36,761299
9043,945312	-36,740570
9087,011719	-36,719940
9130,078125	-36,699409
9173,144531	-36,678970
9216,210938	-36,658627
9259,277344	-36,638382
9302,343750	-36,618233
9345,410156	-36,598171
9388,476562	-36,578209
9431,542969	-36,558327
9474,609375	-36,538536
9517,675781	-36,518845
9560,742188	-36,499237
9603,808594	-36,479721
9646,875000	-36,460289
9689,941406	-36,440937
9733,007812	-36,421684
9776,074219	-36,402508
9819,140625	-36,383419
9862,207031	-36,364414
9905,273438	-36,345490
9948,339844	-36,326653
9991,406250	-36,307888
10034,472656	-36,289207
10077,539062	-36,270607
10120,605469	-36,252087
10163,671875	-36,233646
10206,738281	-36,215282
10249,804688	-36,196999
10292,871094	-36,178791
10335,937500	-36,160656
10379,003906	-36,142601
10422,070312	-36,124615
10465,136719	-36,106709
10508,203125	-36,088875
10551,269531	-36,071106
10594,335938	-36,053417
10637,402344	-36,035801
10680,468750	-36,018253
10723,535156	-36,000774
10766,601562	-35,983368
10809,667969	-35,966042
10852,734375	-35,948769
10895,800781	-35,931564
10938,867188	-35,914425
10981,933594	-35,897369
11025,000000	-35,880363
11068,066406	-35,863434
11111,132812	-35,846565
11154,199219	-35,829773
11197,265625	-35,813038
11240,332031	-35,796364
11283,398438	-35,779747
11326,464844	-35,763210
11369,531250	-35,746731
11412,597656	-35,730312
11455,664062	-35,713951
11498,730469	-35,697655
11541,796875	-35,681419
11584,863281	-35,665245
11627,929688	-35,649136
11670,996094	-35,633083
11714,062500	-35,617085
11757,128906	-35,601154
11800,195312	-35,585270
11843,261719	-35,569439
11886,328125	-35,553677
11929,394531	-35,537960
11972,460938	-35,522312
12015,527344	-35,506721
12058,593750	-35,491184
12101,660156	-35,475697
12144,726562	-35,460274
12187,792969	-35,444908
12230,859375	-35,429592
12273,925781	-35,414326
12316,992188	-35,399113
12360,058594	-35,383949
12403,125000	-35,368843
12446,191406	-35,353798
12489,257812	-35,338795
12532,324219	-35,323833
12575,390625	-35,308937
12618,457031	-35,294090
12661,523438	-35,279293
12704,589844	-35,264542
