Frecuencia (Hz)	Nivel (dB)
43,066406	-15,322649
86,132812	-21,608356
129,199219	-23,410646
172,265625	-24,898773
215,332031	-26,075134
258,398438	-26,744659
301,464844	-27,500454
344,531250	-28,245707
387,597656	-28,744768
430,664062	-29,044668
473,730469	-29,696947
516,796875	-30,161295
559,863281	-30,401463
602,929688	-30,770185
645,996094	-31,121325
689,062500	-31,297459
732,128906	-31,430052
775,195312	-31,878044
818,261719	-32,078552
861,328125	-32,187653
904,394531	-32,484695
947,460938	-32,688900
990,527344	-32,986450
1033,593750	-33,158485
1076,660156	-33,438694
1119,726562	-33,675812
1162,792969	-33,920685
1205,859375	-33,936768
1248,925781	-34,018909
1291,992188	-34,216419
1335,058594	-34,425407
1378,125000	-34,595486
1421,191406	-35,011639
1464,257812	-35,048058
1507,324219	-35,032936
1550,390625	-35,206837
1593,457031	-35,344860
1636,523438	-35,352833
1679,589844	-35,479927
1722,656250	-35,451324
1765,722656	-35,577244
1808,789062	-35,614223
1851,855469	-35,912960
1894,921875	-36,200012
1937,988281	-36,300758
1981,054688	-36,408588
2024,121094	-36,496296
2067,187500	-36,450527
2110,253906	-36,743835
2153,320312	-36,764305
2196,386719	-36,740456
2239,453125	-36,835983
2282,519531	-37,074379
2325,585938	-37,327103
2368,652344	-37,234428
2411,718750	-37,228481
2454,785156	-37,461544
2497,851562	-37,598427
2540,917969	-37,606400
2583,984375	-37,785603
2627,050781	-37,905373
2670,117188	-37,916126
2713,183594	-37,966625
2756,250000	-38,140900
2799,316406	-38,272038
2842,382812	-38,259274
2885,449219	-38,396141
2928,515625	-38,506516
2971,582031	-38,469070
3014,648438	-38,599953
3057,714844	-38,516380
3100,781250	-38,738018
3143,847656	-38,731091
3186,914062	-38,681519
3229,980469	-38,824982
3273,046875	-38,917187
3316,113281	-39,085037
3359,179688	-39,054039
3402,246094	-39,021534
3445,312500	-39,105881
3488,378906	-39,161922
3531,445312	-39,354950
3574,511719	-39,455746
3617,578125	-39,428917
3660,644531	-39,385578
3703,710938	-39,521622
3746,777344	-39,750843
3789,843750	-39,936554
3832,910156	-40,057941
3875,976562	-40,021706
3919,042969	-40,066586
3962,109375	-40,188393
4005,175781	-40,049183
4048,242188	-40,059875
4091,308594	-40,210667
4134,375000	-40,266838
4177,441406	-40,266064
4220,507812	-40,476887
4263,574219	-40,591705
4306,640625	-40,545399
4349,707031	-40,622131
4392,773438	-40,675938
4435,839844	-40,566521
4478,906250	-40,700520
4521,972656	-40,770157
4565,039062	-40,873837
4608,105469	-40,743000
4651,171875	-40,815186
4694,238281	-41,018574
4737,304688	-40,864090
4780,371094	-40,846401
4823,437500	-40,947475
4866,503906	-41,112099
4909,570312	-41,178810
4952,636719	-41,117577
4995,703125	-41,234871
5038,769531	-41,337975
5081,835938	-41,363049
5124,902344	-41,365459
5167,968750	-41,369141
5211,035156	-41,506016
5254,101562	-41,566391
5297,167969	-41,467712
5340,234375	-41,636009
5383,300781	-41,412674
5426,367188	-41,397133
5469,433594	-41,795151
5512,500000	-41,859856
5555,566406	-41,831203
5598,632812	-41,764912
5641,699219	-41,929276
5684,765625	-41,951073
5727,832031	-41,959385
5770,898438	-41,947960
5813,964844	-42,067463
5857,031250	-42,050560
5900,097656	-42,139870
5943,164062	-42,302940
5986,230469	-42,322498
6029,296875	-42,089783
6072,363281	-42,077335
6115,429688	-42,181934
6158,496094	-42,162601
6201,562500	-42,254833
6244,628906	-42,236809
6287,695312	-42,435471
6330,761719	-42,568829
6373,828125	-42,445953
6416,894531	-42,418812
6459,960938	-42,507320
6503,027344	-42,571514
6546,093750	-42,657925
6589,160156	-42,906414
6632,226562	-42,751083
6675,292969	-42,704723
6718,359375	-42,773586
6761,425781	-42,865898
6804,492188	-42,849327
6847,558594	-42,858681
6890,625000	-43,167847
6933,691406	-43,100903
6976,757812	-43,011814
7019,824219	-42,960133
