Frecuencia (Hz)	Nivel (dB)
43,066406	-7,558801
86,132812	-9,213926
129,199219	-11,221209
172,265625	-12,551572
215,332031	-13,556239
258,398438	-14,366815
301,464844	-15,047421
344,531250	-15,634496
387,597656	-16,150888
430,664062	-16,611935
473,730469	-17,028421
516,796875	-17,408239
559,863281	-17,757370
602,929688	-18,080412
645,996094	-18,381002
689,062500	-18,662079
732,128906	-18,926016
775,195312	-19,174801
818,261719	-19,410067
861,328125	-19,633230
904,394531	-19,845457
947,460938	-20,047787
990,527344	-20,241095
1033,593750	-20,426153
1076,660156	-20,603638
1119,726562	-20,774145
1162,792969	-20,938208
1205,859375	-21,096291
1248,925781	-21,248814
1291,992188	-21,396160
1335,058594	-21,538668
1378,125000	-21,676643
1421,191406	-21,810369
1464,257812	-21,940094
1507,324219	-22,066055
1550,390625	-22,188469
1593,457031	-22,307520
1636,523438	-22,423391
1679,589844	-22,536253
1722,656250	-22,646252
1765,722656	-22,753538
1808,789062	-22,858232
1851,855469	-22,960461
1894,921875	-23,060337
1937,988281	-23,157970
1981,054688	-23,253452
2024,121094	-23,346882
2067,187500	-23,438341
2110,253906	-23,527914
2153,320312	-23,615679
2196,386719	-23,701704
2239,453125	-23,786058
2282,519531	-23,868801
2325,585938	-23,950001
2368,652344	-24,029709
2411,718750	-24,107979
2454,785156	-24,184862
2497,851562	-24,260412
2540,917969	-24,334665
2583,984375	-24,407671
2627,050781	-24,479471
2670,117188	-24,550100
2713,183594	-24,619600
2756,250000	-24,688005
2799,316406	-24,755354
2842,382812	-24,821669
2885,449219	-24,886986
2928,515625	-24,951336
2971,582031	-25,014746
3014,648438	-25,077246
3057,714844	-25,138857
3100,781250	-25,199606
3143,847656	-25,259518
3186,914062	-25,318611
3229,980469	-25,376913
3273,046875	-25,434446
3316,113281	-25,491226
3359,179688	-25,547268
3402,246094	-25,602600
3445,312500	-25,657230
3488,378906	-25,711187
3531,445312	-25,764482
3574,511719	-25,817129
3617,578125	-25,869146
3660,644531	-25,920549
3703,710938	-25,971350
3746,777344	-26,021564
3789,843750	-26,071199
3832,910156	-26,120277
3875,976562	-26,168808
3919,042969	-26,216801
3962,109375	-26,264267
4005,175781	-26,311222
4048,242188	-26,357676
4091,308594	-26,403635
4134,375000	-26,449118
4177,441406	-26,494122
4220,507812	-26,538668
4263,574219	-26,582766
4306,640625	-26,626415
4349,707031	-26,669632
4392,773438	-26,712421
4435,839844	-26,754795
4478,906250	-26,796759
4521,972656	-26,838320
4565,039062	-26,879486
4608,105469	-26,920271
4651,171875	-26,960674
4694,238281	-27,000704
4737,304688	-27,040365
4780,371094	-27,079672
4823,437500	-27,118628
4866,503906	-27,157234
4909,570312	-27,195499
4952,636719	-27,233429
4995,703125	-27,271032
5038,769531	-27,308310
5081,835938	-27,345276
5124,902344	-27,381927
5167,968750	-27,418274
5211,035156	-27,454315
5254,101562	-27,490061
5297,167969	-27,525515
5340,234375	-27,560680
5383,300781	-27,595566
5426,367188	-27,630177
5469,433594	-27,664505
5512,500000	-27,698570
5555,566406	-27,732370
5598,632812	-27,765905
5641,699219	-27,799185
5684,765625	-27,832214
5727,832031	-27,864996
5770,898438	-27,897528
5813,964844	-27,929821
5857,031250	-27,961872
5900,097656	-27,993689
5943,164062	-28,025274
5986,230469	-28,056633
6029,296875	-28,087769
6072,363281	-28,118677
6115,429688	-28,149370
6158,496094	-28,179848
6201,562500	-28,210115
6244,628906	-28,240171
6287,695312	-28,270020
6330,761719	-28,299669
6373,828125	-28,329111
6416,894531	-28,358356
6459,960938	-28,387409
6503,027344	-28,416264
6546,093750	-28,444931
6589,160156	-28,473415
6632,226562	-28,501709
6675,292969	-28,529818
6718,359375	-28,557747
6761,425781	-28,585499
6804,492188	-28,613073
6847,558594	-28,640474
6890,625000	-28,667704
6933,691406	-28,694765
6976,757812	-28,721657
7019,824219	-28,748381
7062,890625	-28,774946
7105,957031	-28,801348
7149,023438	-28,827585
7192,089844	-28,853674
7235,156250	-28,879604
7278,222656	-28,905376
7321,289062	-28,930998
7364,355469	-28,956474
7407,421875	-28,981796
7450,488281	-29,006969
7493,554688	-29,032003
7536,621094	-29,056889
7579,687500	-29,081636
7622,753906	-29,106245
7665,820312	-29,130713
7708,886719	-29,155046
7751,953125	-29,179241
7795,019531	-29,203300
7838,085938	-29,227230
7881,152344	-29,251028
7924,218750	-29,274694
7967,285156	-29,298233
8010,351562	-29,321642
8053,417969	-29,344931
8096,484375	-29,368093
8139,550781	-29,391132
8182,617188	-29,414055
8225,683594	-29,436855
8268,750000	-29,459536
8311,816406	-29,482100
8354,882812	-29,504539
8397,949219	-29,526869
8441,015625	-29,549084
8484,082031	-29,571182
8527,148438	-29,593174
8570,214844	-29,615053
8613,281250	-29,636824
8656,347656	-29,658485
8699,414062	-29,680037
8742,480469	-29,701481
8785,546875	-29,722828
8828,613281	-29,744062
8871,679688	-29,765198
8914,746094	-29,786232
8957,812500	-29,807161
9000,878906	-29,827988
9043,945312	-29,848719
9087,011719	-29,869350
9130,078125	-29,889881
9173,144531	-29,910322
9216,210938	-29,930666
9259,277344	-29,950914
9302,343750	-29,971066
9345,410156	-29,991125
9388,476562	-30,011093
9431,542969	-30,030968
9474,609375	-30,050755
9517,675781	-30,070450
9560,742188	-30,090061
9603,808594	-30,109583
9646,875000	-30,129017
9689,941406	-30,148361
9733,007812	-30,167612
9776,074219	-30,186787
9819,140625	-30,205881
9862,207031	-30,224890
9905,273438	-30,243816
9948,339844	-30,262659
9991,406250	-30,281418
10034,472656	-30,300093
10077,539062	-30,318691
10120,605469	-30,337214
10163,671875	-30,355652
10206,738281	-30,374020
10249,804688	-30,392307
10292,871094	-30,410515
10335,937500	-30,428648
10379,003906	-30,446709
10422,070312	-30,464689
10465,136719	-30,482595
10508,203125	-30,500431
10551,269531	-30,518194
10594,335938	-30,535883
10637,402344	-30,553509
10680,468750	-30,571058
10723,535156	-30,588531
10766,601562	-30,605940
10809,667969	-30,623278
10852,734375	-30,640545
10895,800781	-30,657745
10938,867188	-30,674879
10981,933594	-30,691938
11025,000000	-30,708931
11068,066406	-30,725868
11111,132812	-30,742731
11154,199219	-30,759535
11197,265625	-30,776272
11240,332031	-30,792942
11283,398438	-30,809549
11326,464844	-30,826097
11369,531250	-30,842579
11412,597656	-30,858999
11455,664062	-30,875353
11498,730469	-30,891653
11541,796875	-30,907890
11584,863281	-30,924067
11627,929688	-30,940180
11670,996094	-30,956234
11714,062500	-30,972229
11757,128906	-30,988163
11800,195312	-31,004045
11843,261719	-31,019867
11886,328125	-31,035629
11929,394531	-31,051338
11972,460938	-31,066992
12015,527344	-31,082584
12058,593750	-31,098118
12101,660156	-31,113604
12144,726562	-31,129030
12187,792969	-31,144405
12230,859375	-31,159729
12273,925781	-31,174994
12316,992188	-31,190203
12360,058594	-31,205364
12403,125000	-31,220470
12446,191406	-31,235519
12489,257812	-31,250521
12532,324219	-31,265474
12575,390625	-31,280369
12618,457031	-31,295221
12661,523438	-31,310019
12704,589844	-31,324768
12747,656250	-31,339462
12790,722656	-31,354109
12833,789062	-31,368708
12876,855469	-31,383259
12919,921875	-31,397755
12962,988281	-31,412210
13006,054688	-31,426615
13049,121094	-31,440973
13092,187500	-31,455284
13135,253906	-31,469543
13178,320312	-31,483757
13221,386719	-31,497925
13264,453125	-31,512053
13307,519531	-31,526127
13350,585938	-31,540161
13393,652344	-31,554152
13436,718750	-31,568090
13479,785156	-31,581991
13522,851562	-31,595844
13565,917969	-31,609652
13608,984375	-31,623417
13652,050781	-31,637133
13695,117188	-31,650812
13738,183594	-31,664455
13781,250000	-31,678051
13824,316406	-31,691601
13867,382812	-31,705103
13910,449219	-31,718571
13953,515625	-31,731997
13996,582031	-31,745382
14039,648438	-31,758722
14082,714844	-31,772024
14125,781250	-31,785284
14168,847656	-31,798510
14211,914062	-31,811689
14254,980469	-31,824825
14298,046875	-31,837925
14341,113281	-31,850986
14384,179688	-31,864010
14427,246094	-31,876997
